=== cuMES — CUDA Magnetic Equilibrium Solver ===
input: w7x
ns=99 mnmax=156 ntheta=30 nzeta=36 nZnT=1080 nfp=5 mpol=12 ntor=12 ncurr=1
  initState: vmecpp interpFromBoundaryAndAxis (m>0 s^(m/2))
  profiles: ns=99 phip=2.769296e-01 lamscale=2.769296e-01 maxToroidalFlux=2.769296e-01
knobs: max_iter=5000 delt0=1.000 dtau_floor=0.000e+00 dump_iter=150 e2_start=560

 ITER |    FSQR        FSQZ        FSQL    |   DELT
------+------------------------------------+----------
    2 |   2.204e+00   8.373e-01   1.420e-01 | 1.00e+00 | Rax=5.9718 Rbnd=5.5586
    3 |   7.354e+01   3.778e+01   1.161e-01 | 1.00e+00 | Rax=5.9445 Rbnd=5.5586
  -> BAD JACOBIAN (iter2=3) delt=9.000e-01
    3 |   2.473e+13   3.910e+12   2.611e+04 | 9.00e-01 | Rax=5.9864 Rbnd=5.5586
    4 |   2.204e+00   8.533e-01   1.420e-01 | 9.00e-01 | Rax=5.9745 Rbnd=5.5586
    5 |   4.387e+01   2.232e+01   7.858e-02 | 9.00e-01 | Rax=5.9532 Rbnd=5.5586
  -> BAD JACOBIAN (iter2=5) delt=8.100e-01
  -> BAD JACOBIAN (iter2=8) delt=7.290e-01
  -> BAD JACOBIAN (iter2=11) delt=6.561e-01
  -> BAD JACOBIAN (iter2=15) delt=5.905e-01
   47 |   5.431e-01   2.471e-01   5.643e-03 | 5.90e-01 | Rax=5.9815 Rbnd=5.5586
  -> BAD PROGRESS (iter2=51) delt=5.733e-01
  -> BAD PROGRESS (iter2=64) delt=5.566e-01
  -> BAD PROGRESS (iter2=78) delt=5.404e-01
  -> BAD PROGRESS (iter2=91) delt=5.246e-01
 2473 |   3.421e-12   7.415e-13   9.288e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2483 |   3.311e-12   7.367e-13   9.081e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2493 |   3.244e-12   7.052e-13   8.859e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2503 |   3.146e-12   6.996e-13   8.652e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2513 |   3.076e-12   6.750e-13   8.429e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2523 |   2.998e-12   6.563e-13   8.225e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2533 |   2.907e-12   6.490e-13   8.032e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2543 |   2.846e-12   6.211e-13   7.831e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2553 |   2.759e-12   6.162e-13   7.640e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2563 |   2.695e-12   5.922e-13   7.435e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2573 |   2.617e-12   5.797e-13   7.248e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2583 |   2.541e-12   5.701e-13   7.068e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2593 |   2.487e-12   5.467e-13   6.883e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2603 |   2.420e-12   5.426e-13   6.706e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2613 |   2.373e-12   5.187e-13   6.519e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2623 |   2.312e-12   5.107e-13   6.347e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2633 |   2.258e-12   4.979e-13   6.183e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2643 |   2.213e-12   4.793e-13   6.017e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2653 |   2.159e-12   4.757e-13   5.856e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2663 |   2.116e-12   4.558e-13   5.683e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2673 |   2.060e-12   4.532e-13   5.527e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2683 |   2.012e-12   4.410e-13   5.376e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2693 |   1.967e-12   4.299e-13   5.225e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2703 |   1.918e-12   4.273e-13   5.078e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2713 |   1.879e-12   4.109e-13   4.921e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2723 |   1.833e-12   4.092e-13   4.780e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2733 |   1.793e-12   3.947e-13   4.645e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2743 |   1.753e-12   3.852e-13   4.510e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2753 |   1.713e-12   3.790e-13   4.375e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2763 |   1.676e-12   3.627e-13   4.230e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2773 |   1.633e-12   3.605e-13   4.098e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2783 |   1.598e-12   3.442e-13   3.972e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2793 |   1.562e-12   3.378e-13   3.844e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2803 |   1.528e-12   3.294e-13   3.716e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2813 |   1.494e-12   3.145e-13   3.582e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2823 |   1.454e-12   3.117e-13   3.464e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2833 |   1.416e-12   2.966e-13   3.351e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2843 |   1.374e-12   2.930e-13   3.240e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2853 |   1.340e-12   2.826e-13   3.128e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2863 |   1.307e-12   2.728e-13   3.015e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2873 |   1.271e-12   2.716e-13   2.915e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2883 |   1.236e-12   2.593e-13   2.822e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2893 |   1.197e-12   2.574e-13   2.731e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2903 |   1.164e-12   2.472e-13   2.639e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2913 |   1.128e-12   2.415e-13   2.549e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2923 |   1.096e-12   2.394e-13   2.470e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2933 |   1.064e-12   2.294e-13   2.397e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2943 |   1.031e-12   2.280e-13   2.324e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2953 |   1.002e-12   2.172e-13   2.250e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
  -> CONVERGED at iter 2962
transform timing: inverseDFT total 2031.6 ms (0.686 ms/iter), forwardDFT total 1159.5 ms (0.391 ms/iter)
Saved binary state to cumes_state.bin

========================================
  Solver Result
========================================
  Status:     CONVERGED
  Iterations: 2962
  FSQR:       9.924e-13
  FSQZ:       2.196e-13
  FSQL:       2.242e-13

  R_00 radial profile:
  j  |  R_00
  ---+--------
   0 |   5.644889
   1 |   5.643939
   2 |   5.642922
   3 |   5.641883
   4 |   5.640842
   5 |   5.639807
   6 |   5.638780
   7 |   5.637762
   8 |   5.636751
   9 |   5.635748
  10 |   5.634751
  11 |   5.633759
  12 |   5.632772
  13 |   5.631790
  14 |   5.630813
  15 |   5.629839
  16 |   5.628869
  17 |   5.627904
  18 |   5.626942
  19 |   5.625984
  20 |   5.625029
  21 |   5.624079
  22 |   5.623131
  23 |   5.622188
  24 |   5.621249
  25 |   5.620313
  26 |   5.619381
  27 |   5.618452
  28 |   5.617528
  29 |   5.616607
  30 |   5.615690
  31 |   5.614776
  32 |   5.613867
  33 |   5.612961
  34 |   5.612059
  35 |   5.611160
  36 |   5.610265
  37 |   5.609374
  38 |   5.608487
  39 |   5.607603
  40 |   5.606722
  41 |   5.605846
  42 |   5.604972
  43 |   5.604102
  44 |   5.603236
  45 |   5.602372
  46 |   5.601512
  47 |   5.600655
  48 |   5.599801
  49 |   5.598950
  50 |   5.598102
  51 |   5.597257
  52 |   5.596414
  53 |   5.595574
  54 |   5.594736
  55 |   5.593901
  56 |   5.593068
  57 |   5.592237
  58 |   5.591408
  59 |   5.590581
  60 |   5.589756
  61 |   5.588932
  62 |   5.588110
  63 |   5.587290
  64 |   5.586470
  65 |   5.585652
  66 |   5.584834
  67 |   5.584018
  68 |   5.583202
  69 |   5.582387
  70 |   5.581572
  71 |   5.580758
  72 |   5.579944
  73 |   5.579130
  74 |   5.578316
  75 |   5.577502
  76 |   5.576688
  77 |   5.575873
  78 |   5.575058
  79 |   5.574243
  80 |   5.573428
  81 |   5.572611
  82 |   5.571794
  83 |   5.570977
  84 |   5.570158
  85 |   5.569339
  86 |   5.568519
  87 |   5.567698
  88 |   5.566876
  89 |   5.566053
  90 |   5.565229
  91 |   5.564404
  92 |   5.563578
  93 |   5.562751
  94 |   5.561922
  95 |   5.561093
  96 |   5.560263
  97 |   5.559432
  98 |   5.558600

  Axis (j=0) and Boundary (j=98):
  Mode | m  n |   rmncc(ax)  rmncc(bdy)  zmnsc(ax)  zmnsc(bdy)
  ------+-------+-------------------------------------------
     0 | 0 0 |   5.644889   5.558600   0.000000   0.000000
     1 | 0 1 |   0.351753   0.264470   0.000000   0.000000
     2 | 0 2 |   0.012216   0.001695   0.000000   0.000000
     3 | 0 3 |   0.000625  -0.000947   0.000000   0.000000
     4 | 0 4 |  -0.000323  -0.001762   0.000000   0.000000
     5 | 0 5 |  -0.000015   0.000046   0.000000   0.000000
     6 | 0 6 |  -0.000088  -0.000234   0.000000   0.000000
     7 | 0 7 |   0.000066   0.000000   0.000000   0.000000
     8 | 0 8 |   0.000021   0.000000   0.000000   0.000000
     9 | 0 9 |  -0.000007   0.000000   0.000000   0.000000
    10 | 0 10 |  -0.000001   0.000000   0.000000   0.000000
    11 | 0 11 |   0.000001   0.000000   0.000000   0.000000

Done.
